network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,protocol_type_ICMP,protocol_type_TCP,protocol_type_UDP,browser_type_Chrome,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown,encryption_used_AES,encryption_used_DES,encryption_used_None,attack_detected
0.37037037037037035,0.0,-0.07246644632600995,1.1170380110677065,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
-0.1,-0.5,1.1468827049937251,-0.05052444651985365,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.48148148148148145,-0.5,-0.5509709082736747,1.62325573137011,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.1296296296296295,0.0,0.05148838662042488,-0.7325198055466247,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
-0.17037037037037037,0.5,-0.027176344241176778,-0.9941208005254241,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
-0.17037037037037037,0.5,-0.2012827486026851,0.4119765697441055,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.1703703703703703,0.0,0.19673033928649705,0.3786462189861368,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.5703703703703704,-0.5,-0.6224643622870295,-0.8302388895860469,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
-0.34444444444444444,-1.0,-0.01570658206634939,-0.0772580897257064,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.40370370370370373,1.0,-0.027859608431445245,0.4182139282134438,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-0.34074074074074073,1.0,0.027986828045372076,-0.7339481826439218,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
-0.34444444444444444,2.5,-0.4181509975835076,0.09536794115208232,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.1814814814814815,-1.0,-0.4237670310300706,0.3523562085893016,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
